FileName,PhotoNumber,FullTaxonomyName,TaxIRN,DatePhotographed ,Photographer,PartyIRN,Country,StateProvince,CityTown,PreciseLocality,SiteIRN,Grouping
Aspidosperma myristicifolium,1,Aspidosperma myristicifolium (Markgr.) Woodson ,6977,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,5
Aspidosperma myristicifolium,2,Aspidosperma myristicifolium (Markgr.) Woodson ,6977,28-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Riyito,588549,6
Simira maxonii,1,Simira maxonii (Standl.) Steyerm.,71955,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón ,Tortuguero,Tortuguero,588538,60
Ateleia herbert-smithii,1,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Ateleia herbert-smithii,2,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Ateleia herbert-smithii,3,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Styphnolobium parviflorum,1,Styphnolobium parviflorum M. Sousa & Rudd,75875,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,61
Styphnolobium parviflorum,2,Styphnolobium parviflorum M. Sousa & Rudd,75875,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,61
Tachigali versicolor,1,Tachigali versicolor Standl. & L.O. Williams,76692,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,62
Tachigali versicolor,2,Tachigali versicolor Standl. & L.O. Williams,76692,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,62
Terminalia bucidioides,1,Terminalia bucidoides Standl. & L.O. Williams,77148,9-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,63
Vantanea barbourii,1,Vantanea barbourii Standl.,80677,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,64
Vantanea barbourii,2,Vantanea barbourii Standl.,80677,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,64
Vatairea erythrocarpa,1,Vatairea erythrocarpa (Ducke) Ducke,80699,12-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,65
Virola multiflora,1,Virola multiflora (Standl.) A.C. Sm.,81841,23-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,66
Virola surinamensis,1,Virola surinamensis (Rol. ex Rottb.) Warb.,81853,10-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,67
Virola surinamensis,2,Virola surinamensis (Rol. ex Rottb.) Warb.,81853,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,68
Xylopia bocatonera,1,Xylopia bocatorena Schery,82839,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,69
Eugenia sancarlosensis,1,Eugenia sancarlosensis Barrie,904,19-Aug-19,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Boca Tapada,588529,22
Batocarpus costaricensis,1,Batocarpus costaricensis Standl. & L.O. Williams,9040,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,8
Bourreria costaricensis,1,Bourreria costaricensis (Standl.) A.H. Gentry,9040,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,9
Bourreria costaricensis,2,Bourreria costaricensis (Standl.) A.H. Gentry,9040,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,9
Dussia foxii,1,Dussia foxii Rudd,683054,8-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Alto San Juan,588540,18
Dussia foxii,2,Dussia foxii Rudd,683054,8-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Alto San Juan,588540,18
Huberodendron allenii,1,Huberodendron allenii Standl. & L.O. Williams,683055,8-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,26
Huberodendron allenii,2,Huberodendron allenii Standl. & L.O. Williams,683055,9-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,26
Magnolia inbioana,1,Magnolia inbioana A. Vázquez,683056,13-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Cartago,Turrialba,Monumento Nacional Guayabo,588533,36
Mosannona costaricensis,1,Mosannona costaricensis (R.E. Fr.) Chatrou,683057,13-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Gandoca,588536,38
Mosannona costaricensis,2,Mosannona costaricensis (R.E. Fr.) Chatrou,683057,13-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Gandoca,588536,38
